BHK,sector,price,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,Panathur,2.25,1611.0,10+,Unfurnished,East,available,2,1,Garden/Park,Bangalore
3,Panathur,2.13,1650.0,10+,Unfurnished,East,available,3,2,Garden/Park,Bangalore
3,Thanisandra,1.37,1420.0,8,Unfurnished,North - East,available,2,1,"Garden/Park, Pool",Bangalore
3,Panathur,1.62,1473.0,5,Unfurnished,North - East,available,2,1,"Garden/Park, Main Road",Bangalore
4,Whitefield,3.93,2616.0,10+,Unfurnished,East,available,3,2,Garden/Park,Bangalore
3,Whitefield,2.1,1682.0,10,Unfurnished,East,available,3,3,Garden/Park,Bangalore
3,others,1.6,1590.0,2,Unfurnished,East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
3,Sarjapur Road,1.92,1950.0,10+,Unfurnished,East,available,3,3,"Garden/Park, Main Road, Pool",Bangalore
3,Sarjapura,1.6,1594.0,10,Unfurnished,East,available,3,1,Garden/Park,Bangalore
3,others,1.6,1606.0,10+,Semi-Furnished,North - East,available,3,3,Garden/Park,Bangalore
3,Whitefield,2.25,1788.0,10,Semi-Furnished,East,available,3,3,"Garden/Park, Main Road, Pool",Bangalore
4,Whitefield,5.5,3543.0,10+,Semi-Furnished,East,available,4,4,"Garden/Park, Main Road, Pool",Bangalore
3,Panathur,2.03,1611.0,10,Unfurnished,East,available,2,1,Garden/Park,Bangalore
3,others,2.11,1611.0,10+,Unfurnished,North - East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
2,Thanisandra Main Road,0.98,1180.0,9,Unfurnished,East,not sure,2,2,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.89,1630.0,10+,Unfurnished,East,not sure,3,2,"Main Road, Pool",Bangalore
2,Gunjur,0.93,920.0,3,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,2.1,1632.0,7,Unfurnished,East,available,3,1,Pool,Bangalore
3,Panathur,2.2,1611.0,8,Unfurnished,East,available,2,1,Garden/Park,Bangalore
4,Gunjur,3.2,2333.0,5,Unfurnished,East,available,4,2,"Garden/Park, Pool",Bangalore
3,Thanisandra Main Road,1.35,1420.0,8,Unfurnished,North - East,available,2,3,"Garden/Park, Main Road, Pool",Bangalore
3,Gunjur,1.75,1950.0,5,Unfurnished,East,available,3,2,Garden/Park,Bangalore
3,Panathur,2.15,1611.0,10,Unfurnished,East,available,3,2,Garden/Park,Bangalore
2,Sarjapura,0.387,968.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
4,Whitefield,2.99,2300.0,10+,Unfurnished,East,not sure,4,4,Main Road,Bangalore
3,Panathur,1.99,1650.0,10,Furnished,East,available,2,1,Main Road,Bangalore
2,Chandapura,0.484,880.0,5,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Bangalore
2,Chandapura,0.542,985.0,7,Unfurnished,North,available,2,2,"Garden/Park, Main Road, Pool",Bangalore
4,others,3.15,2616.0,5,Unfurnished,East,available,4,2,"Garden/Park, Pool",Bangalore
3,others,2.1,1600.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,2.3,1611.0,9,Unfurnished,North - East,available,2,1,Garden/Park,Bangalore
3,Thanisandra,1.36,1430.0,10,Unfurnished,East,available,3,2,Garden/Park,Bangalore
3,Chandapura,1.38,1655.0,10+,Unfurnished,North,available,3,2,Garden/Park,Bangalore
3,Whitefield,2.48,1811.0,5,Furnished,East,available,3,3,"Garden/Park, Pool",Bangalore
3,Panathur,2.1,1915.0,10+,Unfurnished,East,available,3,2,"Garden/Park, Pool",Bangalore
3,Thanisandra Main Road,1.38,1430.0,8,Unfurnished,North,not sure,2,2,"Garden/Park, Main Road",Bangalore
3,Gunjur,1.55,1455.0,10+,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,Sarjapur Road,1.36,1345.0,10+,Unfurnished,East,available,2,1,Garden/Park,Bangalore
3,Panathur,2.35,1600.0,8,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Bangalore
4+,others,3.5,2900.0,10+,Semi-Furnished,East,available,4+,4+,"Garden/Park, Pool",Bangalore
3,Sarjapur Road,1.6,1600.0,4,Unfurnished,North - East,not sure,3,2,Main Road,Bangalore
3,others,1.8,1434.0,10,Unfurnished,North,available,2,1,Garden/Park,Bangalore
3,others,2.2,1611.0,10,Unfurnished,East,available,2,1,Garden/Park,Bangalore
3,Panathur,2.69,1915.0,10+,Unfurnished,East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
2,Thanisandra Main Road,1.67,1675.0,7,Unfurnished,North - East,available,2,2,"Garden/Park, Main Road, Pool",Bangalore
3,Panathur,2.79,2202.0,5,Unfurnished,North,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
3,Panathur,2.25,1611.0,10+,Unfurnished,East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
3,Whitefield,2.9,1820.0,10+,Unfurnished,East,available,3,2,Garden/Park,Bangalore
2,Thanisandra,1.13,1190.0,10+,Unfurnished,East,available,2,2,Garden/Park,Bangalore
2,others,1.21,1197.0,10+,Unfurnished,East,available,2,2,"Garden/Park, Pool",Bangalore
3,Whitefield,1.97,1682.0,7,Unfurnished,East,available,3,2,Main Road,Bangalore
3,others,2.0,1650.0,10+,Semi-Furnished,East,available,3,3,"Garden/Park, Pool",Bangalore
3,others,2.15,1628.0,7,Unfurnished,East,available,3,2,Main Road,Bangalore
2,Gunjur,1.29,1342.0,5,Unfurnished,East,available,2,2,"Garden/Park, Pool",Bangalore
2,Gunjur,1.3,1346.0,2,Unfurnished,East,available,2,2,"Garden/Park, Pool",Bangalore
3,Panathur,2.8,1960.0,10+,Unfurnished,East,not sure,3,3,Main Road,Bangalore
3,Thanisandra,1.41,1675.0,10,Unfurnished,East,available,2,2,"Garden/Park, Main Road",Bangalore
3,Panathur,2.55,1915.0,7,Unfurnished,East,available,3,3,"Garden/Park, Main Road, Pool",Bangalore
3,Gunjur,2.08,1857.0,10+,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
3,Panathur,2.4,1611.0,10+,Unfurnished,East,available,3,2,Garden/Park,Bangalore
2,Sarjapur Road,1.36,1295.0,2,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,Sarjapur Road,1.32,1300.0,8,Unfurnished,East,available,2,1,"Garden/Park, Pool",Bangalore
2,Sarjapur Road,1.36,1348.0,2,Unfurnished,East,available,2,1,"Garden/Park, Pool",Bangalore
1,others,1.1,661.0,10+,Unfurnished,East,not sure,1,1,Main Road,Bangalore
3,Gunjur,1.6,1680.0,5,Unfurnished,East,not sure,3,2,Main Road,Bangalore
2,Gunjur,1.3,1181.0,8,Unfurnished,East,not sure,2,2,Main Road,Bangalore
3,Bagaluru,1.59,1720.0,10+,Unfurnished,East,not sure,3,2,Main Road,Bangalore
1,Sarjapur Road,0.932,699.0,10+,Unfurnished,East,not sure,1,1,Main Road,Bangalore
2,others,1.53,1458.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
2,Thanisandra Main Road,1.12,1192.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
3,others,2.39,1265.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
3,Thanisandra Main Road,1.75,1578.0,10+,Unfurnished,East,not sure,3,2,Main Road,Bangalore
2,Whitefield,1.74,1472.0,10+,Unfurnished,East,not sure,2,2,Main Road,Bangalore
2,others,0.975,1945.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
3,Thanisandra Main Road,1.69,1578.0,10+,Unfurnished,East,not sure,2,2,Main Road,Bangalore
3,Bagaluru,1.71,1670.0,10+,Unfurnished,East,not sure,3,2,Main Road,Bangalore
3,Whitefield,2.55,1970.0,10+,Unfurnished,East,not sure,3,3,Main Road,Bangalore
2,Thanisandra Main Road,1.13,1090.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
3,Sarjapur Road,1.55,2178.0,10+,Unfurnished,East,available,3,1,Main Road,Bangalore
2,Yelahanka,0.78,988.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
1,Thanisandra,0.774,715.0,7,Unfurnished,East,available,1,1,Main Road,Bangalore
3,Outer Ring Road,1.54,1898.0,10+,Unfurnished,East,available,3,1,Main Road,Bangalore
2,others,0.534,1068.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
2,Krishnarajapura,1.4,1320.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
2,Gunjur,1.35,1300.0,9,Unfurnished,East,available,2,1,Main Road,Bangalore
3,Panathur,2.2,1915.0,3,Unfurnished,East,not sure,3,2,Main Road,Bangalore
3,Gunjur,1.6,1680.0,1,Unfurnished,East,available,2,2,"Garden/Park, Main Road, Pool",Bangalore
2,Gunjur,1.26,1344.0,5,Unfurnished,East,available,2,1,"Garden/Park, Pool",Bangalore
3,Jakkur,2.8,2015.0,1,Unfurnished,East,available,3,4,Main Road,Bangalore
3,Whitefield,2.03,1920.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
2,Whitefield,1.06,1334.0,2,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,Thanisandra Main Road,1.26,1333.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
3,Sarjapur Road,1.77,1864.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
2,others,1.2,1170.0,10+,Semi-Furnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,others,1.14,1240.0,10+,Unfurnished,East,not sure,2,1,Main Road,Bangalore
2,Whitefield,1.59,1405.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
1,Thanisandra,0.644,715.0,10+,Unfurnished,East,not sure,1,1,Main Road,Bangalore
3,Gunjur,1.56,1820.0,10+,Unfurnished,West,not sure,3,3,Main Road,Bangalore
3,others,1.3,1200.0,1,Semi-Furnished,East,available,3,3,Main Road,Bangalore
2,others,0.84,1445.0,3,Unfurnished,North,available,2,2,"Garden/Park, Main Road",Bangalore
2,others,0.887,1016.0,1,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,others,0.778,1180.0,4,Semi-Furnished,East,available,2,3,"Garden/Park, Pool",Bangalore
2,others,0.43,708.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
1,Sarjapura,0.42,500.0,2,Semi-Furnished,East,available,1,1,Pool,Bangalore
3,others,2.24,2135.0,3,Unfurnished,East,available,3,3,"Garden/Park, Pool",Bangalore
3,others,1.45,1625.0,3,Semi-Furnished,East,available,3,1,Garden/Park,Bangalore
3,others,0.99,1450.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.73,1815.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
3,others,1.06,1480.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
2,others,0.723,1166.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
3,Jakkur,1.26,1485.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
2,others,1.07,1075.0,5,Unfurnished,East,not sure,2,1,Main Road,Bangalore
2,Sarjapura,0.821,1190.0,2,Unfurnished,East,available,2,2,Main Road,Bangalore
3,JP Nagar,2.2,1850.0,10+,Semi-Furnished,East,available,3,1,Main Road,Bangalore
